iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap4905e3d3-de,tap4905e3d3-de_20260313_094600Z_120s.pcap,3270,2026-03-13T09:47:41Z,1773395174.782576,2026-03-13T09:46:14Z,1773395261.421851,2026-03-13T09:47:41Z,27
tap4905e3d3-de,tap4905e3d3-de_20260313_094800Z_120s.pcap,5337,2026-03-13T09:50:00Z,1773395289.432799,2026-03-13T09:48:09Z,1773395400.071080,2026-03-13T09:50:00Z,44
tap4905e3d3-de,tap4905e3d3-de_20260313_095000Z_120s.pcap,3762,2026-03-13T09:51:59Z,1773395413.806918,2026-03-13T09:50:13Z,1773395518.868127,2026-03-13T09:51:58Z,31
tap4905e3d3-de,tap4905e3d3-de_20260313_095200Z_120s.pcap,4613,2026-03-13T09:53:33Z,1773395523.484756,2026-03-13T09:52:03Z,1773395613.132790,2026-03-13T09:53:33Z,38
tap4905e3d3-de,tap4905e3d3-de_20260313_095400Z_120s.pcap,3782,2026-03-13T09:55:45Z,1773395642.336636,2026-03-13T09:54:02Z,1773395744.748769,2026-03-13T09:55:44Z,31
tap4905e3d3-de,tap4905e3d3-de_20260313_095601Z_120s.pcap,4921,2026-03-13T09:57:35Z,1773395764.110760,2026-03-13T09:56:04Z,1773395854.829697,2026-03-13T09:57:34Z,41
tap4905e3d3-de,tap4905e3d3-de_20260313_095801Z_120s.pcap,4777,2026-03-13T09:59:54Z,1773395884.048057,2026-03-13T09:58:04Z,1773395994.856074,2026-03-13T09:59:54Z,39
tap4905e3d3-de,tap4905e3d3-de_20260313_100001Z_120s.pcap,3318,2026-03-13T10:01:57Z,1773396025.381096,2026-03-13T10:00:25Z,1773396116.682726,2026-03-13T10:01:56Z,27
tap4905e3d3-de,tap4905e3d3-de_20260313_100201Z_120s.pcap,4497,2026-03-13T10:03:43Z,1773396122.092772,2026-03-13T10:02:02Z,1773396223.469140,2026-03-13T10:03:43Z,37
tap5cfefce2-e1,tap5cfefce2-e1_20260313_090757Z_120s.pcap,68158,2026-03-13T09:09:54Z,1773392880.232712,2026-03-13T09:08:00Z,1773392993.385598,2026-03-13T09:09:53Z,567
tap5cfefce2-e1,tap5cfefce2-e1_20260313_090957Z_120s.pcap,11277,2026-03-13T09:11:57Z,1773393003.245784,2026-03-13T09:10:03Z,1773393116.419527,2026-03-13T09:11:56Z,93
tap5cfefce2-e1,tap5cfefce2-e1_20260313_091157Z_120s.pcap,202656970,2026-03-13T09:13:54Z,1773393119.674048,2026-03-13T09:11:59Z,1773393234.044612,2026-03-13T09:13:54Z,1688808
tap5cfefce2-e1,tap5cfefce2-e1_20260313_091357Z_120s.pcap,809862,2026-03-13T09:15:57Z,1773393245.055358,2026-03-13T09:14:05Z,1773393356.181185,2026-03-13T09:15:56Z,6748
tap5cfefce2-e1,tap5cfefce2-e1_20260313_091557Z_120s.pcap,12337,2026-03-13T09:17:56Z,1773393367.189964,2026-03-13T09:16:07Z,1773393476.492663,2026-03-13T09:17:56Z,102
tap5cfefce2-e1,tap5cfefce2-e1_20260313_091758Z_120s.pcap,3340151,2026-03-13T09:19:58Z,1773393484.558172,2026-03-13T09:18:04Z,1773393598.143861,2026-03-13T09:19:58Z,27834
tap5cfefce2-e1,tap5cfefce2-e1_20260313_091958Z_120s.pcap,4575250,2026-03-13T09:21:52Z,1773393599.330541,2026-03-13T09:19:59Z,1773393712.287467,2026-03-13T09:21:52Z,38127
tap5cfefce2-e1,tap5cfefce2-e1_20260313_092158Z_120s.pcap,13593,2026-03-13T09:23:51Z,1773393728.179066,2026-03-13T09:22:08Z,1773393830.811277,2026-03-13T09:23:50Z,113
tap5cfefce2-e1,tap5cfefce2-e1_20260313_092358Z_120s.pcap,197236,2026-03-13T09:25:57Z,1773393839.183655,2026-03-13T09:23:59Z,1773393957.457423,2026-03-13T09:25:57Z,1643
tap5cfefce2-e1,tap5cfefce2-e1_20260313_092558Z_120s.pcap,18223,2026-03-13T09:27:50Z,1773393961.825591,2026-03-13T09:26:01Z,1773394069.704308,2026-03-13T09:27:49Z,151
tap5cfefce2-e1,tap5cfefce2-e1_20260313_092758Z_120s.pcap,9096,2026-03-13T09:29:55Z,1773394080.670177,2026-03-13T09:28:00Z,1773394195.164337,2026-03-13T09:29:55Z,75
tap5cfefce2-e1,tap5cfefce2-e1_20260313_092959Z_120s.pcap,196143,2026-03-13T09:31:55Z,1773394199.551958,2026-03-13T09:29:59Z,1773394315.074366,2026-03-13T09:31:55Z,1634
tap5cfefce2-e1,tap5cfefce2-e1_20260313_093159Z_120s.pcap,69055,2026-03-13T09:33:59Z,1773394324.088368,2026-03-13T09:32:04Z,1773394438.306138,2026-03-13T09:33:58Z,575
tap5cfefce2-e1,tap5cfefce2-e1_20260313_093359Z_120s.pcap,13186,2026-03-13T09:35:50Z,1773394443.044022,2026-03-13T09:34:03Z,1773394549.987908,2026-03-13T09:35:49Z,109
tap5cfefce2-e1,tap5cfefce2-e1_20260313_093559Z_120s.pcap,38623,2026-03-13T09:37:58Z,1773394559.837483,2026-03-13T09:35:59Z,1773394678.134121,2026-03-13T09:37:58Z,321
tap5cfefce2-e1,tap5cfefce2-e1_20260313_093759Z_120s.pcap,8697,2026-03-13T09:39:53Z,1773394688.106161,2026-03-13T09:38:08Z,1773394793.134619,2026-03-13T09:39:53Z,72
tap5cfefce2-e1,tap5cfefce2-e1_20260313_093959Z_120s.pcap,35175,2026-03-13T09:41:54Z,1773394801.893256,2026-03-13T09:40:01Z,1773394913.737217,2026-03-13T09:41:53Z,293
tap5cfefce2-e1,tap5cfefce2-e1_20260313_094159Z_120s.pcap,9162,2026-03-13T09:43:56Z,1773394921.395313,2026-03-13T09:42:01Z,1773395036.533297,2026-03-13T09:43:56Z,76
tap5cfefce2-e1,tap5cfefce2-e1_20260313_094400Z_120s.pcap,10055,2026-03-13T09:45:51Z,1773395046.430822,2026-03-13T09:44:06Z,1773395151.777627,2026-03-13T09:45:51Z,83
